[ 2013-05-23T22:50:48+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.002719s ]
[ 2013-05-23T22:50:48+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005288s ]
[ 2013-05-23T22:54:24+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:54:24+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002988s ]
[ 2013-05-23T22:54:24+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003759s ]
[ 2013-05-23T22:54:24+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007275s ]
[ 2013-05-23T23:32:38+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant config - assumed 'config' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:32:38+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:32:38+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant alias - assumed 'alias' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:32:38+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:32:38+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant functions - assumed 'functions' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:32:38+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:32:38+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T23:32:38+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002901s ]
[ 2013-05-23T23:32:38+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.005091s ]
[ 2013-05-23T23:32:38+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008473s ]
[ 2013-05-23T23:33:53+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant config - assumed 'config' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:33:53+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:33:53+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant alias - assumed 'alias' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:33:53+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:33:53+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant functions - assumed 'functions' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:33:53+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:33:53+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T23:33:53+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002129s ]
[ 2013-05-23T23:33:53+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.002660s ]
[ 2013-05-23T23:33:53+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005218s ]
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant config - assumed 'config' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant alias - assumed 'alias' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant functions - assumed 'functions' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002049s ]
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.002955s ]
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005802s ]
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant config - assumed 'config' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant alias - assumed 'alias' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant functions - assumed 'functions' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002405s ]
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.002895s ]
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005743s ]
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant config - assumed 'config' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant alias - assumed 'alias' Dispatcher.class.php 第 149 行.
