[ 2013-05-27T15:45:20+08:00 ] / | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: YES)
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010265s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --START--
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001878s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001974s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002165s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002282s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002044s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.002218s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004416s ]
[ 2013-05-27T16:13:58+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001469s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001600s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001189s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run CheckLang Behavior [ RunTime:0.001954s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003387s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.005353s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | SQL: SELECT * FROM `think_user` WHERE ( `username` = 'admin' ) AND ( `status` > 0 ) LIMIT 1   [ RunTime:0.000226s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_template ] --START--
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.001029s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.001122s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.053791s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.053931s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.000910s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.000841s ]
