[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Run ShowRuntime Behavior [ RunTime:0.002603s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009759s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Tag[ view_end ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.002471s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.002721s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ route_check ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run CheckRoute Behavior [ RunTime:0.005434s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ route_check ] --END-- [ RunTime:0.005795s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ app_begin ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003282s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run CheckLang Behavior [ RunTime:0.007147s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010887s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | SQL: SHOW COLUMNS FROM `think_menu` [ RunTime:0.010069s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_template ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run LocationTemplate Behavior [ RunTime:0.004229s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_template ] --END-- [ RunTime:0.004474s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_parse ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 42 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 52 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 71 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 91 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 108 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 125 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 136 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 153 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: security 938a19e3012cad1115629b8327d25372.php 第 172 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: security 938a19e3012cad1115629b8327d25372.php 第 173 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: security 938a19e3012cad1115629b8327d25372.php 第 174 行.
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run ParseTemplate Behavior [ RunTime:0.060535s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.060761s ]
